contig,nsnp,ndel,nins,N,position,sample,f_del,cell_line,condition,timepoint,replicate,name
GFP_BAR_DSBR_2,3.0,6.0,0.0,3219.0,28,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,6.0,0.0,3219.0,29,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,8.0,0.0,3219.0,30,TK6_WT_1h_BR0,0.0024852438645542093,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,10.0,0.0,3219.0,31,TK6_WT_1h_BR0,0.0031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,10.0,0.0,3219.0,32,TK6_WT_1h_BR0,0.0031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,11.0,0.0,3219.0,33,TK6_WT_1h_BR0,0.003417210313762038,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,14.0,0.0,3219.0,34,TK6_WT_1h_BR0,0.004349176762969867,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,17.0,0.0,3219.0,35,TK6_WT_1h_BR0,0.005281143212177695,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,17.0,0.0,3219.0,36,TK6_WT_1h_BR0,0.005281143212177695,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,17.0,0.0,3219.0,37,TK6_WT_1h_BR0,0.005281143212177695,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,19.0,0.0,3219.0,38,TK6_WT_1h_BR0,0.005902454178316247,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,19.0,0.0,3219.0,39,TK6_WT_1h_BR0,0.005902454178316247,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,19.0,0.0,3219.0,40,TK6_WT_1h_BR0,0.005902454178316247,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,23.0,0.0,3219.0,41,TK6_WT_1h_BR0,0.007145076110593352,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,23.0,2.0,3219.0,42,TK6_WT_1h_BR0,0.007145076110593352,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,31.0,3.0,3219.0,43,TK6_WT_1h_BR0,0.009630319975147562,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,35.0,6.0,3219.0,44,TK6_WT_1h_BR0,0.010872941907424665,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,19.0,0.0,3219.0,45,TK6_WT_1h_BR0,0.005902454178316247,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,17.0,0.0,3219.0,46,TK6_WT_1h_BR0,0.005281143212177695,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,12.0,0.0,3219.0,47,TK6_WT_1h_BR0,0.003727865796831314,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,7.0,0.0,3219.0,48,TK6_WT_1h_BR0,0.0021745883814849334,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,6.0,0.0,3219.0,49,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,6.0,0.0,3219.0,50,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,6.0,0.0,3219.0,51,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,6.0,0.0,3219.0,52,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,6.0,0.0,3219.0,53,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,6.0,0.0,3219.0,54,TK6_WT_1h_BR0,0.001863932898415657,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,4.0,0.0,3219.0,55,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,4.0,0.0,3219.0,56,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,4.0,0.0,3219.0,57,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,58,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,59,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,60,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,61,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,62,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,63,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,64,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,1.0,0.0,3219.0,65,TK6_WT_1h_BR0,0.00031065548306927616,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,66,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,67,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,68,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,69,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,70,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,71,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,72,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,73,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,4.0,4.0,0.0,3219.0,74,TK6_WT_1h_BR0,0.0012426219322771047,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,0.0,0.0,3219.0,75,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,3219.0,76,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,77,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,78,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,3219.0,79,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,80,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,3219.0,81,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,82,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,83,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,0.0,0.0,3219.0,84,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,85,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,86,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,0.0,0.0,3219.0,87,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,88,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,89,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,90,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,91,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,3219.0,92,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,3219.0,93,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,3219.0,94,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,3219.0,95,TK6_WT_1h_BR0,0.0,TK6,WT,1h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,1,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,2,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,3,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,4,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,5,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,6,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,7,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,8,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,0.0,0.0,11326.0,9,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,10,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,11,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,12,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,13,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,14,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,15,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,5.0,0.0,11326.0,16,TK6_WT_2h_BR0,0.0004414621225498852,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,5.0,0.0,11326.0,17,TK6_WT_2h_BR0,0.0004414621225498852,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,5.0,0.0,11326.0,18,TK6_WT_2h_BR0,0.0004414621225498852,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,6.0,0.0,11326.0,19,TK6_WT_2h_BR0,0.0005297545470598623,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,7.0,0.0,11326.0,20,TK6_WT_2h_BR0,0.0006180469715698393,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,9.0,0.0,11326.0,21,TK6_WT_2h_BR0,0.0007946318205897933,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,11.0,0.0,11326.0,22,TK6_WT_2h_BR0,0.0009712166696097474,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,12.0,0.0,11326.0,23,TK6_WT_2h_BR0,0.0010595090941197245,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,15.0,0.0,11326.0,24,TK6_WT_2h_BR0,0.0013243863676496556,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,16.0,0.0,11326.0,25,TK6_WT_2h_BR0,0.0014126787921596327,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,20.0,0.0,11326.0,26,TK6_WT_2h_BR0,0.0017658484901995409,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,21.0,0.0,11326.0,27,TK6_WT_2h_BR0,0.001854140914709518,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,22.0,0.0,11326.0,28,TK6_WT_2h_BR0,0.0019424333392194949,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,25.0,0.0,11326.0,29,TK6_WT_2h_BR0,0.002207310612749426,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,28.0,0.0,11326.0,30,TK6_WT_2h_BR0,0.002472187886279357,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,30.0,0.0,11326.0,31,TK6_WT_2h_BR0,0.002648772735299311,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,30.0,0.0,11326.0,32,TK6_WT_2h_BR0,0.002648772735299311,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,33.0,0.0,11326.0,33,TK6_WT_2h_BR0,0.0029136500088292423,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,49.0,0.0,11326.0,34,TK6_WT_2h_BR0,0.004326328800988875,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,79.0,0.0,11326.0,35,TK6_WT_2h_BR0,0.006975101536288187,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,81.0,0.0,11326.0,36,TK6_WT_2h_BR0,0.00715168638530814,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,83.0,0.0,11326.0,37,TK6_WT_2h_BR0,0.007328271234328095,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,85.0,0.0,11326.0,38,TK6_WT_2h_BR0,0.007504856083348049,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,96.0,0.0,11326.0,39,TK6_WT_2h_BR0,0.008476072752957796,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,96.0,0.0,11326.0,40,TK6_WT_2h_BR0,0.008476072752957796,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,111.0,0.0,11326.0,41,TK6_WT_2h_BR0,0.009800459120607452,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,110.0,0.0,11326.0,42,TK6_WT_2h_BR0,0.009712166696097474,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,144.0,9.0,11326.0,43,TK6_WT_2h_BR0,0.012714109129436693,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,172.0,20.0,11326.0,44,TK6_WT_2h_BR0,0.015186297015716051,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,115.0,0.0,11326.0,45,TK6_WT_2h_BR0,0.01015362881864736,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,103.0,0.0,11326.0,46,TK6_WT_2h_BR0,0.009094119724527635,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,80.0,0.0,11326.0,47,TK6_WT_2h_BR0,0.0070633939607981635,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,57.0,0.0,11326.0,48,TK6_WT_2h_BR0,0.005032668197068692,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,45.0,0.0,11326.0,49,TK6_WT_2h_BR0,0.003973159102948967,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,38.0,0.0,11326.0,50,TK6_WT_2h_BR0,0.0033551121313791276,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,36.0,0.0,11326.0,51,TK6_WT_2h_BR0,0.0031785272823591734,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,36.0,0.0,11326.0,52,TK6_WT_2h_BR0,0.0031785272823591734,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,33.0,0.0,11326.0,53,TK6_WT_2h_BR0,0.0029136500088292423,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,33.0,0.0,11326.0,54,TK6_WT_2h_BR0,0.0029136500088292423,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,20.0,0.0,11326.0,55,TK6_WT_2h_BR0,0.0017658484901995409,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,18.0,0.0,11326.0,56,TK6_WT_2h_BR0,0.0015892636411795867,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,16.0,0.0,11326.0,57,TK6_WT_2h_BR0,0.0014126787921596327,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,11.0,0.0,11326.0,58,TK6_WT_2h_BR0,0.0009712166696097474,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,11.0,0.0,11326.0,59,TK6_WT_2h_BR0,0.0009712166696097474,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,11.0,0.0,11326.0,60,TK6_WT_2h_BR0,0.0009712166696097474,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,9.0,0.0,11326.0,61,TK6_WT_2h_BR0,0.0007946318205897933,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,9.0,0.0,11326.0,62,TK6_WT_2h_BR0,0.0007946318205897933,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,6.0,0.0,11326.0,63,TK6_WT_2h_BR0,0.0005297545470598623,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,6.0,0.0,11326.0,64,TK6_WT_2h_BR0,0.0005297545470598623,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,3.0,0.0,11326.0,65,TK6_WT_2h_BR0,0.00026487727352993113,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,1.0,0.0,11326.0,66,TK6_WT_2h_BR0,8.829242450997704e-05,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,67,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,68,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,69,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,70,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,71,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,3.0,11326.0,72,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,73,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,27.0,5.0,3.0,11326.0,74,TK6_WT_2h_BR0,0.0004414621225498852,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,0.0,0.0,11326.0,75,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,1.0,11326.0,76,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,77,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,2.0,0.0,0.0,11326.0,78,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,0.0,0.0,11326.0,79,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,0.0,0.0,11326.0,80,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,81,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,1.0,0.0,0.0,11326.0,82,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,83,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,10.0,0.0,0.0,11326.0,84,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,85,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,0.0,0.0,0.0,11326.0,86,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
GFP_BAR_DSBR_2,3.0,0.0,0.0,11326.0,87,TK6_WT_2h_BR0,0.0,TK6,WT,2h,BR0,TK6_WT
